,county_name,precinct,Ward2,Precinct,candidate,candidate_normalized,party,mode,votes,religious_voting_place,party2
43,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 10,1,10,Hillary Clinton,clinton,democratic,total,1200,0,democratic
44,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 10,1,10,Gary Johnson,johnson,libertarian,total,32,0,other
45,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 10,1,10,Jill Stein,stein,green,total,32,0,other
46,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 10,1,10,Donald Trump,trump,republican,total,160,0,republican
47,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 10,1,10,Emidio Soltysik,soltysik,natural law party,total,2,0,other
48,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 7,1,7,Darrell Castle,castle,us taxpayers,total,0,0,other
49,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 7,1,7,Hillary Clinton,clinton,democratic,total,672,0,democratic
50,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 7,1,7,Gary Johnson,johnson,libertarian,total,29,0,other
51,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 7,1,7,Jill Stein,stein,green,total,14,0,other
52,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 7,1,7,Donald Trump,trump,republican,total,96,0,republican
53,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 7,1,7,Emidio Soltysik,soltysik,natural law party,total,0,0,other
54,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 6,5,6,Darrell Castle,castle,us taxpayers,total,4,0,other
55,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 6,5,6,Hillary Clinton,clinton,democratic,total,1059,0,democratic
56,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 6,5,6,Gary Johnson,johnson,libertarian,total,22,0,other
57,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 6,5,6,Jill Stein,stein,green,total,12,0,other
58,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 6,5,6,Donald Trump,trump,republican,total,98,0,republican
59,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 6,5,6,Emidio Soltysik,soltysik,natural law party,total,0,0,other
60,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 5,2,5,Darrell Castle,castle,us taxpayers,total,1,0,other
61,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 5,2,5,Hillary Clinton,clinton,democratic,total,1120,0,democratic
62,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 5,2,5,Gary Johnson,johnson,libertarian,total,36,0,other
63,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 5,2,5,Jill Stein,stein,green,total,8,0,other
64,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 5,2,5,Donald Trump,trump,republican,total,198,0,republican
